Station_ID,Station_Name,PS_Code,Department_Code,Type,Longitude,Latitude
438.0,Lashkar PS,PS - 438,169730053,Police Station - Karnataka,76.6567916603507,12.3144027908781
439.0,Nazarbad PS,PS - 439,169730054,Police Station - Karnataka,76.6673269999795,12.3082760001403
440.0,Udayagiri PS,PS - 440,169730055,Police Station - Karnataka,76.6809440001246,12.3267900003402
441.0,Women PS Mysuru City,PS - 441,169730056,Police Station - Karnataka,76.6568210000169,12.3014316000704
442.0,Ashokpuram PS,PS - 442,169730048,Police Station - Karnataka,76.6312979999431,12.2893060002719
443.0,Krishnaraja PS,PS - 443,169730046,Police Station - Karnataka,76.6502959366214,12.2979102314074
444.0,Kuvempunagar PS,PS - 444,169730051,Police Station - Karnataka,76.627722000175,12.2860780003566
445.0,Laxmipuram PS,PS - 445,169730049,Police Station - Karnataka,76.6428379996766,12.2977360003455
446.0,Saraswathipuram PS,PS - 446,169730050,Police Station - Karnataka,76.6239630001804,12.3017490003132
447.0,Vidyaranyarpuram PS,PS - 447,169730047,Police Station - Karnataka,76.6446324746981,12.2632986768268
448.0,Hebbal PS,PS - 448,169732177,Police Station - Karnataka,76.6161044153904,12.3532704229885
449.0,Jayalakshmipuram PS,PS - 449,169730043,Police Station - Karnataka,76.6129925631637,12.3236901559182
450.0,Mandi PS,PS - 450,169730040,Police Station - Karnataka,76.6541940000986,12.3163369997298
524.0,Naragund PS,PS - 524,164401568,Police Station - Karnataka,75.3883261174758,15.7212902142725
525.0,Gajendragad PS,PS - 525,164401566,Police Station - Karnataka,75.967010000407,15.7359199997003
526.0,Naregal PS,PS - 526,164401565,Police Station - Karnataka,75.8055689290355,15.5702531290992
527.0,Ron PS,PS - 527,164401564,Police Station - Karnataka,75.735676376687,15.6921271180652
528.0,Alamatti PS,PS - 528,164471924,Police Station - Karnataka,75.8977699998408,16.343020000317
529.0,Basavan Bagewadi PS,PS - 529,164470429,Police Station - Karnataka,75.9689999997507,16.5720999995958
530.0,Kolhar PS,PS - 530,164470430,Police Station - Karnataka,75.6862534277492,16.4869407384441
531.0,Managoli PS,PS - 531,164470431,Police Station - Karnataka,75.8168800003536,16.6486500003095
532.0,Nidagundi PS,PS - 532,164471923,Police Station - Karnataka,75.927640000163,16.3641799997462
533.0,Muddebihal PS,PS - 533,164470433,Police Station - Karnataka,76.1287700003332,16.3490999999067
534.0,Talikot PS,PS - 534,164470434,Police Station - Karnataka,76.3105600000852,16.4798100002562
535.0,Babaleshwar PS,PS - 535,164470416,Police Station - Karnataka,75.5803200004047,16.6658299997346
536.0,Bijapur Rural PS,PS - 536,164470415,Police Station - Karnataka,75.7386899996538,16.8264999999675
537.0,Tikota PS,PS - 537,164470417,Police Station - Karnataka,75.5179299999643,16.8444980002682
538.0,Gandhi Chowk PS,PS - 538,164470411,Police Station - Karnataka,75.7150299995963,16.8288199998895
539.0,Adarsh Nagar PS,PS - 539,164471497,Police Station - Karnataka,75.7107099999683,16.8502199998858
540.0,Vijayapura APMC PS,PS - 540,164471496,Police Station - Karnataka,75.7216500001421,16.8355999996793
541.0,Golgumbaz PS,PS - 541,164471495,Police Station - Karnataka,75.7387199997101,16.8263799996802
542.0,Jalanagar PS,PS - 542,164472008,Police Station - Karnataka,75.7265999997033,16.8068000003312
543.0,Chadachan PS,PS - 543,164470424,Police Station - Karnataka,75.6683199996572,17.3112060003243
544.0,Zalaki PS,PS - 544,164470425,Police Station - Karnataka,75.8012740004346,17.2514870003377
545.0,Hortti PS,PS - 545,164470421,Police Station - Karnataka,75.7849000003357,17.1179000003296
546.0,Indi PS,PS - 546,164470420,Police Station - Karnataka,75.9542200001002,17.1769099999228
547.0,Almel PS,PS - 547,164471511,Police Station - Karnataka,76.2187820003435,17.0900830003164
548.0,Devara Hipparagi PS,PS - 548,164471512,Police Station - Karnataka,76.0631700000159,16.817805000211
549.0,Kalkeri PS,PS - 549,164471513,Police Station - Karnataka,76.3080699995779,16.671079999701
550.0,Sindagi PS,PS - 550,164471510,Police Station - Karnataka,76.2316169996446,16.9218240000456
552.0,Chamarajanagar East PS,PS - 552,164671121,Police Station - Karnataka,76.9627490003615,11.9350219996238
553.0,Chamarajanagar Rural PS,PS - 553,164671120,Police Station - Karnataka,76.9298200003305,11.9260970003251
554.0,Chamarajanagar Women PS,PS - 554,164672173,Police Station - Karnataka,76.9629229997826,11.9362010002533
555.0,Kuderu PS,PS - 555,164671125,Police Station - Karnataka,76.9392100000856,12.0457089996651
556.0,Santemaralli PS,PS - 556,164671134,Police Station - Karnataka,76.9779480002166,12.0434799997649
557.0,Chamarajanagar Town PS,PS - 557,164671119,Police Station - Karnataka,76.9366230000653,11.9271530000275
558.0,Begur PS,PS - 558,164672009,Police Station - Karnataka,76.671146000347,11.9345929999969
559.0,Gundlupete PS,PS - 559,164671123,Police Station - Karnataka,76.6847459996543,11.8110330003526
560.0,Terakanambi PS,PS - 560,164671124,Police Station - Karnataka,76.7926329998518,11.8181490003167
